Link(url='https://twitter.com/ThePuneMirror', text='Follow', fragment='', nofollow=False)
Link(url='http://www.mumbaimirror.com/', text='Mumbai Mirror', fragment='', nofollow=False)
Link(url='http://www.bangaloremirror.com/', text='Bangalore Mirror', fragment='', nofollow=False)
Link(url='http://www.ahmedabadmirror.com/', text='Ahmedabad Mirror', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/', text='Home', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/pune/section/30791700.cms', text='Pune', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/columns/section/30791453.cms', text='Columns', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/entertainment/section/30791267.cms', text='Entertainment', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/news/section/30791059.cms', text='News', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/sports/articlelist/30792067.cms', text='Sports', fragment='', nofollow=False)
Link(url='http://www.gocricket.com/', text='GoCricket', fragment='', nofollow=False)
Link(url='http://www.happytrips.com/', text=' Travel', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/photolist/31095438.cms', text='Photos', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/pune/cover-story/In-a-first-Nashik-Mahasangh-turns-out-in-Peshwe-togs/articleshow/48060515.cms', text='In a first, Nashik Mahasangh turns out in Peshwe togs', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/pune/civic/Deccan-death-trap/articleshow/48059753.cms', text='Deccan death trap', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/pune/civic/Hiss-way-to-HEALING/articleshow/48060205.cms', text='His(s) way to HEALING', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/pune/others/That-sadhu-may-just-be-a-cop/articleshow/48059970.cms', text='That sadhu may just be a cop', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/columns/columnists/altaf-patel/To-squat-or-not-to-squat/articleshow/48057615.cms', text='To squat or not to squat', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/entertainment/bollywood/Bollywood-meets-Mr-and-Mrs-Kapoor/articleshow/48059529.cms', text='Bollywood meets Mr and Mrs Kapoor', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/news/india/Another-Pak-turnaround/articleshow/48058448.cms', text='Another Pak turnaround', fragment='', nofollow=False)
